region;province;circonscription;seats_total;total_votes_2021;quota_votes_2021;pdn_votes_target_90pct_quota;pdn_votes_target_100pct_quota;pdn_votes_target_110pct_quota
Beni-Mellal - Khénifra;Khouribga;Khouribga;6;131980;21997;19797;21997;24196
Beni-Mellal - Khénifra;Azilal;Azilal - Demnate;3;81583;27194;24475;27194;29914
Drâa - Tafilalet;Errachidia;Errachidia;5;113879;22776;20498;22776;25053
Drâa - Tafilalet;Ouarzazate;Ouarzazate;3;84452;28151;25336;28151;30966
Fès - Meknès;Boulemane;Boulemane;3;71897;23966;21569;23966;26362
Fès - Meknès;Taza;Taza;5;141507;28301;25471;28301;31132
Marrakech - Safi;Safi;Safi;6;157796;26299;23669;26299;28929
Oriental;Berkane;Berkane;3;71093;23698;21328;23698;26067
Oriental;Driouch;Driouch;3;76245;25415;22874;25415;27957
Souss - Massa;Tata;Tata;2;50400;25200;22680;25200;27720
